iter	Logloss
0	0.6913207617
1	0.6894539159
2	0.6880285492
3	0.6865336996
4	0.6848367679
5	0.6836392256
6	0.6821234254
7	0.6802392823
8	0.678810737
9	0.6775472713
10	0.6759873595
11	0.6744231466
12	0.6735604196
13	0.672043089
14	0.670684771
15	0.6692184619
16	0.6676278396
17	0.6664179532
18	0.664870101
19	0.6634887913
20	0.6623547286
21	0.6612226538
22	0.6601689893
23	0.6587887528
24	0.6578420566
25	0.6569230396
26	0.6558761058
27	0.6544776192
28	0.6533052285
29	0.6527480483
30	0.651784656
31	0.6508100962
32	0.6499731651
33	0.6487613595
34	0.6474806545
35	0.6466828984
36	0.6456490638
37	0.6449094625
38	0.6441007845
39	0.642931728
40	0.6421532207
41	0.6410394123
42	0.64039419
43	0.6395821524
44	0.638593071
45	0.6378945053
46	0.6369516889
47	0.6362018585
48	0.635359611
49	0.634518829
50	0.6334678366
51	0.632586422
52	0.6322585269
53	0.6314700326
54	0.6306975148
55	0.6302980965
56	0.6300213923
57	0.629543001
58	0.6286894614
59	0.6279857249
60	0.6273125702
61	0.6263990749
62	0.6259677105
63	0.625338025
64	0.6248175528
65	0.6241345416
66	0.6238923681
67	0.623392385
68	0.6232910535
69	0.6226584026
70	0.6220115058
71	0.6213928304
72	0.6210908921
73	0.6208046838
74	0.6202744307
75	0.6196590606
76	0.6191481577
77	0.6184594981
78	0.618061551
79	0.6174906838
80	0.6169588498
81	0.6163757076
82	0.6157799715
83	0.6153876905
84	0.6149341142
85	0.6144802339
86	0.6139557001
87	0.6135164266
88	0.6129737793
89	0.6124118408
90	0.6117263185
91	0.6111881373
92	0.6107703989
93	0.6102859463
94	0.6097504453
95	0.6092770154
96	0.6087701893
97	0.6083481174
98	0.6080483397
99	0.6075353494
100	0.6071993736
101	0.6067911566
102	0.6064439197
103	0.6058856315
104	0.6055340928
105	0.6050961591
106	0.6046576467
107	0.6040371648
108	0.6036086714
109	0.6031354557
110	0.6026779267
111	0.6023240776
112	0.6018832862
113	0.6014374887
114	0.6011802256
115	0.6007909244
116	0.6005799578
117	0.6004972341
118	0.6000634323
119	0.5998324609
120	0.5995501352
121	0.5992749919
122	0.5987479287
123	0.5984543763
124	0.5979085935
125	0.5978747485
126	0.597491157
127	0.5971532235
128	0.5968033218
129	0.5963478557
130	0.5960949928
131	0.5957133753
132	0.5953088016
133	0.594995676
134	0.5946311998
135	0.5942235131
136	0.5937863047
137	0.5936153903
138	0.5932904854
139	0.5929864162
140	0.5924223621
141	0.5921906906
142	0.5917511032
143	0.591362043
144	0.591015489
145	0.5907092439
146	0.5904534674
147	0.5901774803
148	0.5898239939
149	0.5896051211
150	0.5894016939
151	0.5890942553
152	0.5887669235
153	0.5883954367
154	0.5880324528
155	0.587727748
156	0.5874256078
157	0.5871858882
158	0.5868645216
159	0.5866198273
160	0.5862380956
161	0.58568355
162	0.5853615206
163	0.5848824987
164	0.5845987959
165	0.5843738702
166	0.5840143454
167	0.5837304581
168	0.5835806457
169	0.5831587531
170	0.5828767331
171	0.5825053897
172	0.5822452715
173	0.5820298372
174	0.5817531891
175	0.58119718
176	0.5807952197
177	0.5804176203
178	0.5801143755
179	0.5797606615
180	0.5794955621
181	0.5791242312
182	0.5788422014
183	0.5785016144
184	0.5782063226
185	0.5780171563
186	0.5776378682
187	0.5776353439
188	0.5776016529
189	0.5773166114
190	0.5770871053
191	0.5769017953
192	0.576611396
193	0.5763926135
194	0.5759799584
195	0.5757449696
196	0.5754940685
197	0.5752587783
198	0.574953067
199	0.5747031087
200	0.574195553
201	0.5740336796
202	0.5737488092
203	0.5734619577
204	0.5733451345
205	0.5730580581
206	0.5728282309
207	0.5726605373
208	0.5723681203
209	0.572108015
210	0.5717647593
211	0.5715502434
212	0.5711916459
213	0.5708541865
214	0.5706272069
215	0.570246184
216	0.5700028832
217	0.5697640801
218	0.5695612969
219	0.5694014908
220	0.569195594
221	0.5691461777
222	0.5690363543
223	0.5687537391
224	0.5686608454
225	0.568360354
226	0.5681164235
227	0.5678220865
228	0.5677845981
229	0.5676316278
230	0.5671897845
231	0.5669073905
232	0.5666376652
233	0.5662861062
234	0.5661504495
235	0.5659536965
236	0.5659350308
237	0.565743383
238	0.5654860438
239	0.5651551595
240	0.5649488243
241	0.5647860621
242	0.5645564786
243	0.564407453
244	0.5642226014
245	0.5638463375
246	0.5637015104
247	0.5634955828
248	0.5631961084
249	0.5630597474
250	0.562819558
251	0.5627592346
252	0.5623595968
253	0.5620674358
254	0.5618030692
255	0.5615805721
256	0.5614181375
257	0.5613584138
258	0.5611355155
259	0.5609813907
260	0.5607573234
261	0.5604071197
262	0.5602084527
263	0.5600583687
264	0.5597873588
265	0.5595245918
266	0.5592156036
267	0.5590345392
268	0.5587814561
269	0.5585989695
270	0.5582280153
271	0.558050113
272	0.5577742604
273	0.5574924735
274	0.5572399657
275	0.5571294991
276	0.5568039169
277	0.5565764344
278	0.5564060991
279	0.5562340942
280	0.5559485977
281	0.5557928757
282	0.5556067704
283	0.5554197712
284	0.5554140816
285	0.5552367158
286	0.5549782977
287	0.5547445038
288	0.5545844629
289	0.5543731803
290	0.5542313506
291	0.5539253765
292	0.5537765332
293	0.5536165127
294	0.5534388935
295	0.5532939195
296	0.5531353189
297	0.5529851659
298	0.5527232558
299	0.5525027617
300	0.5522510134
301	0.5519378125
302	0.5517847456
303	0.5515441463
304	0.5513207007
305	0.5511658583
306	0.5510619089
307	0.5508776867
308	0.5506205326
309	0.5504868569
310	0.5503146925
311	0.5501333838
312	0.549918533
313	0.54972637
314	0.5495378975
315	0.5493669008
316	0.549153192
317	0.5489756683
318	0.5487474158
319	0.5487360445
320	0.5486214079
321	0.5484782247
322	0.5483154388
323	0.5481510768
324	0.547983719
325	0.5479195486
326	0.5478578636
327	0.5477077353
328	0.5474262623
329	0.5471910088
330	0.5470263668
331	0.5468091883
332	0.5466365494
333	0.5465088595
334	0.5463292085
335	0.5460852364
336	0.5459479912
337	0.5458112307
338	0.5456642804
339	0.5455187439
340	0.5454519251
341	0.5452338919
342	0.5448248195
343	0.5447419735
344	0.5444916338
345	0.5443197556
346	0.5441144789
347	0.5439120167
348	0.5437763257
349	0.54371469
350	0.5436076715
351	0.5434195882
352	0.5432687246
353	0.5429986288
354	0.5428238141
355	0.54274545
356	0.5424860102
357	0.5422426875
358	0.5420799549
359	0.542052976
360	0.5418120432
361	0.5416234622
362	0.5414202233
363	0.5411378717
364	0.5409448212
365	0.5407815633
366	0.5406146347
367	0.5403999866
368	0.540262814
369	0.5400991169
370	0.5400248509
371	0.5396400761
372	0.5394159361
373	0.5392546107
374	0.5390724627
375	0.5388447004
376	0.5385539303
377	0.5383152816
378	0.5381502731
379	0.537938623
380	0.5378008017
381	0.5376663501
382	0.5374758012
383	0.5373326581
384	0.537095208
385	0.5369901927
386	0.5368416753
387	0.5366614822
388	0.5364369075
389	0.5361533206
390	0.5358789979
391	0.5356468364
392	0.5356441554
393	0.5353835097
394	0.5351120413
395	0.5349457889
396	0.5347671136
397	0.5346933377
398	0.5345078353
399	0.5344528545
400	0.5341860404
401	0.5339789786
402	0.5337702987
403	0.5336096497
404	0.5334470221
405	0.5332120628
406	0.532867122
407	0.5326796054
408	0.5326361114
409	0.5326033862
410	0.5325333979
411	0.5324324103
412	0.5322663619
413	0.532046961
414	0.5319298093
415	0.5317703074
416	0.5317631314
417	0.5315166254
418	0.5313532935
419	0.5312401518
420	0.5310960879
421	0.5308621889
422	0.5307525762
423	0.530711196
424	0.5305645788
425	0.5305605384
426	0.5303802562
427	0.5302514897
428	0.5302509856
429	0.5301366026
430	0.529929262
431	0.5297904085
432	0.5297078187
433	0.5295726994
434	0.5294450072
435	0.5293232431
436	0.5291308812
437	0.52899742
438	0.5288325196
439	0.5286173298
440	0.5284369341
441	0.5281230334
442	0.527920895
443	0.5278784851
444	0.5275012406
445	0.5273504589
446	0.5270576853
447	0.5268609914
448	0.5267811876
449	0.5265795816
450	0.5264443824
451	0.5262880147
452	0.5260506722
453	0.5259394976
454	0.525747549
455	0.5254343411
456	0.5251834106
457	0.5250199846
458	0.5248027012
459	0.5246936362
460	0.524584031
461	0.5244278643
462	0.5242093235
463	0.5240184839
464	0.5239121954
465	0.5237859547
466	0.523658002
467	0.5234511337
468	0.5232540016
469	0.5231458017
470	0.5229597097
471	0.5228158766
472	0.5227115681
473	0.5225283991
474	0.5222955172
475	0.5221936376
476	0.5220359695
477	0.5219876407
478	0.5217449393
479	0.5215631967
480	0.5214558235
481	0.5213730906
482	0.5212990506
483	0.5211806289
484	0.5209303666
485	0.5207582969
486	0.5205510512
487	0.5201830672
488	0.520022816
489	0.5199274405
490	0.5197054291
491	0.5194893524
492	0.5193234488
493	0.5191721074
494	0.519051192
495	0.5188856621
496	0.5186546162
497	0.5185231473
498	0.5184075505
499	0.5182192981
500	0.517994773
501	0.5178637156
502	0.517827945
503	0.5175871881
504	0.5174350819
505	0.5172077545
506	0.5170290115
507	0.5168601291
508	0.5166848117
509	0.5166002488
510	0.5164372696
511	0.5163135152
512	0.5162106775
513	0.5160756243
514	0.5159189085
515	0.5157492356
516	0.5155996237
517	0.5155038952
518	0.5153279705
519	0.5152085868
520	0.5150471284
521	0.5149098793
522	0.5147581374
523	0.5144779849
524	0.5143517932
525	0.5141108358
526	0.5139994163
527	0.5138115502
528	0.5136621921
529	0.5133963797
530	0.5132850238
531	0.5132300039
532	0.5131239114
533	0.5129956079
534	0.5128959993
535	0.5126096075
536	0.5124906165
537	0.5123350443
538	0.5121970706
539	0.5121299507
540	0.5119755311
541	0.5118622267
542	0.5115962012
543	0.5113582529
544	0.5112277958
545	0.5110277189
546	0.5108128723
547	0.510613833
548	0.5104040098
549	0.5101430516
550	0.5101211932
551	0.5099079251
552	0.5097044117
553	0.5094354912
554	0.5092638152
555	0.5090558453
556	0.5089829698
557	0.5087244356
558	0.508581238
559	0.5083637902
560	0.5082793675
561	0.508149944
562	0.5079341299
563	0.5078331667
564	0.5076428727
565	0.5074941164
566	0.5073796342
567	0.507255501
568	0.507117349
569	0.5069547556
570	0.5068682251
571	0.5067111469
572	0.5065987219
573	0.5064338031
574	0.5063609239
575	0.5062590845
576	0.5060721411
577	0.5060467365
578	0.5057346571
579	0.5056125509
580	0.5054594696
581	0.5052696559
582	0.5050980709
583	0.5050041352
584	0.5048248596
585	0.5047491339
586	0.5046209454
587	0.5043422746
588	0.5042621611
589	0.5040960047
590	0.5038488741
591	0.5036605813
592	0.5035058375
593	0.5033781221
594	0.5031604747
595	0.5029476882
596	0.5027037582
597	0.5024917559
598	0.5023867656
599	0.5023038297
600	0.502146001
601	0.5020042242
602	0.5019256666
603	0.5017087142
604	0.5016108467
605	0.5014304305
606	0.5012249521
607	0.5011149126
608	0.5010085404
609	0.500850338
610	0.5006829027
611	0.5004716141
612	0.5002793434
613	0.5001022156
614	0.4999333372
615	0.4998093188
616	0.4995828287
617	0.4993708935
618	0.4992882785
619	0.4990131079
620	0.4989061224
621	0.4986866728
622	0.4984791015
623	0.4983528776
624	0.4981946324
625	0.4979183789
626	0.4976636788
627	0.497542601
628	0.4974191342
629	0.497269129
630	0.4970783281
631	0.4969602794
632	0.496746768
633	0.4966350334
634	0.496542288
635	0.4963780593
636	0.4961560533
637	0.4959591243
638	0.4957662777
639	0.4955312365
640	0.4952893702
641	0.4951185067
642	0.4948120777
643	0.4945619961
644	0.4944819926
645	0.4942180325
646	0.4939954218
647	0.4938249317
648	0.4936439476
649	0.4933929969
650	0.4932506302
651	0.4930903693
652	0.4929434188
653	0.4928494484
654	0.4927142583
655	0.4926321086
656	0.4924755913
657	0.4922616877
658	0.4919875445
659	0.4918618543
660	0.4916532675
661	0.4913429778
662	0.4910942617
663	0.4908577252
664	0.4906523277
665	0.4904437635
666	0.4902030716
667	0.4900902441
668	0.4899793964
669	0.4898645557
670	0.4896893981
671	0.4895830065
672	0.4894333403
673	0.4892356214
674	0.489009018
675	0.4888092899
676	0.4886543847
677	0.4884877245
678	0.4883720855
679	0.4882487583
680	0.4880753271
681	0.4878976572
682	0.4876549628
683	0.487516604
684	0.4873141125
685	0.4870682016
686	0.486872727
687	0.4866451098
688	0.4864131129
689	0.4863037942
690	0.4860856453
691	0.4859137002
692	0.4858233031
693	0.4857168988
694	0.4854689367
695	0.4852343183
696	0.4850768578
697	0.4848944061
698	0.4846916667
699	0.4845971003
700	0.4843520523
701	0.4841217266
702	0.4839142041
703	0.4837495927
704	0.4835697976
705	0.4834497206
706	0.4833452585
707	0.4831593081
708	0.4829617956
709	0.4828024895
710	0.4826930477
711	0.482483708
712	0.4823880237
713	0.4822568964
714	0.4818950279
715	0.4817402752
716	0.4815776222
717	0.4812930929
718	0.4811459419
719	0.4810480115
720	0.4808306645
721	0.480646353
722	0.480485293
723	0.480327922
724	0.4801500878
725	0.4800034111
726	0.4798374255
727	0.4796753159
728	0.4795122584
729	0.4793759532
730	0.4791974997
731	0.4790267557
732	0.4789000481
733	0.4786583454
734	0.478455999
735	0.4782993973
736	0.4781585805
737	0.4779673644
738	0.4777300415
739	0.477532445
740	0.4773804815
741	0.4773081715
742	0.4771146024
743	0.4770316674
744	0.4768332432
745	0.4766446673
746	0.4764147789
747	0.4762092908
748	0.475993851
749	0.4758619163
750	0.4757303567
751	0.4754724163
752	0.4753586673
753	0.4751513644
754	0.475004023
755	0.4748477069
756	0.4747186167
757	0.4745536167
758	0.4743833213
759	0.4741388186
760	0.4739551876
761	0.4738829704
762	0.4738106449
763	0.4736026862
764	0.4734214788
765	0.4733236072
766	0.4732195772
767	0.4730559954
768	0.4729671197
769	0.4726352861
770	0.4724305373
771	0.4722727019
772	0.4720830506
773	0.4719260306
774	0.4716927172
775	0.4714973493
776	0.4712885615
777	0.4711747548
778	0.470923247
779	0.4707468148
780	0.4706507613
781	0.4705099902
782	0.4703277409
783	0.4701168688
784	0.4699368167
785	0.4695949191
786	0.4694173946
787	0.4692106271
788	0.4690051235
789	0.4688664436
790	0.4687144309
791	0.4686174046
792	0.4684436299
793	0.4682144286
794	0.4681182061
795	0.4679050649
796	0.4677745042
797	0.4675729931
798	0.4674562473
799	0.4672957612
800	0.4671836786
801	0.466956464
802	0.4667088503
803	0.4666534298
804	0.4664622381
805	0.4662684177
806	0.4660923611
807	0.465848232
808	0.4656183695
809	0.4654117473
810	0.4652828978
811	0.465045626
812	0.4648969837
813	0.464777491
814	0.4646939914
815	0.4645999655
816	0.4645031016
817	0.4644039962
818	0.464246976
819	0.4640786836
820	0.4638453912
821	0.463653625
822	0.4633816123
823	0.4632068353
824	0.4630355316
825	0.4628472404
826	0.4627717162
827	0.4626334568
828	0.4624697549
829	0.4624186053
830	0.462216843
831	0.4620343639
832	0.4618896258
833	0.4617054634
834	0.4616502608
835	0.4614584913
836	0.4613734084
837	0.4612419414
838	0.4610519545
839	0.4610100106
840	0.4607874409
841	0.4607139688
842	0.4604627438
843	0.4602167853
844	0.4600580387
845	0.4598437408
846	0.4596704
847	0.4594664123
848	0.4592889804
849	0.4591296684
850	0.4589229377
851	0.45875505
852	0.4585839181
853	0.4582937325
854	0.4580843784
855	0.4579662809
856	0.4578359522
857	0.457605611
858	0.4574287323
859	0.4573261468
860	0.4570818725
861	0.4569269324
862	0.456754658
863	0.4565560594
864	0.4564079508
865	0.4562045983
866	0.4560467076
867	0.4558647889
868	0.4556880951
869	0.4555150418
870	0.4552120016
871	0.4550185818
872	0.4548705112
873	0.4547233207
874	0.4546596405
875	0.454498922
876	0.4542977655
877	0.4542043226
878	0.4540105973
879	0.453779128
880	0.4536155763
881	0.4534650966
882	0.453331791
883	0.4531365237
884	0.4530058249
885	0.4529147138
886	0.4526702183
887	0.4524674575
888	0.4522642951
889	0.4520974772
890	0.4519004944
891	0.4517373763
892	0.4515836169
893	0.4515335356
894	0.4514161004
895	0.4513434813
896	0.4512374092
897	0.4510489483
898	0.4509273683
899	0.4507382762
900	0.4506490039
901	0.4504463365
902	0.4502952097
903	0.4501066451
904	0.4499373117
905	0.4498633753
906	0.4497546969
907	0.4495667384
