iter	Passed	Remaining
0	51	51307
1	54	27104
2	57	19027
3	60	15016
4	62	12532
5	64	10605
6	66	9366
7	68	8435
8	69	7699
9	71	7074
10	73	6567
11	74	6124
12	75	5734
13	76	5414
14	78	5129
15	79	4882
16	80	4672
17	82	4483
18	87	4504
19	88	4327
20	89	4168
21	90	4022
22	91	3886
23	92	3766
24	93	3654
25	94	3546
26	95	3447
27	96	3358
28	97	3275
29	98	3184
30	99	3108
31	100	3041
32	101	2977
33	102	2918
34	103	2863
35	104	2809
36	105	2758
37	107	2711
38	108	2665
39	109	2622
40	110	2579
41	111	2540
42	112	2502
43	113	2465
44	114	2431
45	115	2398
46	116	2367
47	117	2336
48	118	2307
49	120	2280
50	121	2253
51	122	2228
52	122	2195
53	123	2169
54	124	2145
55	125	2118
56	126	2090
57	127	2069
58	128	2048
59	129	2029
60	130	2009
61	131	1991
62	132	1974
63	133	1956
64	134	1939
65	136	1924
66	136	1903
67	137	1886
68	138	1864
69	139	1849
70	140	1835
71	141	1822
72	142	1806
73	142	1788
74	143	1774
75	144	1762
76	146	1751
77	147	1739
78	148	1727
79	149	1715
80	150	1705
81	151	1694
82	152	1682
83	153	1671
84	154	1661
85	155	1652
86	156	1642
87	157	1633
88	158	1624
89	159	1615
90	160	1605
91	161	1596
92	162	1587
93	163	1579
94	164	1570
95	165	1561
96	166	1553
97	167	1546
98	169	1538
99	170	1530
100	171	1522
101	172	1515
102	173	1508
103	174	1501
104	175	1494
105	176	1487
106	177	1480
107	178	1474
108	179	1467
109	180	1460
110	181	1454
111	182	1447
112	183	1441
113	184	1435
114	185	1429
115	186	1423
116	187	1418
117	188	1408
118	189	1402
119	190	1397
120	191	1391
121	192	1385
122	193	1380
123	194	1374
124	195	1369
125	196	1361
126	197	1356
127	198	1350
128	199	1345
129	200	1340
130	201	1336
131	202	1331
132	203	1326
133	204	1322
134	205	1317
135	209	1328
136	210	1324
137	211	1318
138	212	1313
139	213	1308
140	214	1304
141	215	1300
142	216	1296
143	217	1292
144	218	1288
145	219	1284
146	220	1280
147	221	1276
148	222	1272
149	223	1268
150	224	1264
151	225	1260
152	226	1255
153	227	1252
154	228	1248
155	230	1244
156	231	1240
157	232	1236
158	233	1232
159	234	1229
160	235	1225
161	236	1221
162	237	1217
163	238	1214
164	239	1210
165	240	1207
166	241	1204
167	242	1200
168	243	1196
169	244	1192
170	245	1189
171	246	1186
172	247	1182
173	248	1179
174	249	1176
175	250	1173
176	251	1170
177	252	1166
178	253	1163
179	254	1160
180	255	1157
181	256	1154
182	257	1151
183	258	1147
184	259	1145
185	260	1141
186	261	1138
187	262	1133
188	263	1128
189	263	1125
190	265	1122
191	266	1119
192	267	1116
193	268	1114
194	269	1111
195	270	1108
196	271	1105
197	272	1102
198	273	1099
199	274	1096
200	275	1093
201	276	1091
202	277	1088
203	278	1085
204	279	1083
205	280	1080
206	281	1077
207	282	1075
208	283	1072
209	284	1070
210	285	1067
211	286	1065
212	287	1062
213	288	1060
214	289	1057
215	290	1055
216	291	1052
217	292	1050
218	293	1048
219	294	1045
220	296	1043
221	296	1039
222	297	1036
223	298	1034
224	299	1032
225	300	1029
226	301	1027
227	302	1025
228	303	1021
229	304	1019
230	305	1016
231	306	1014
232	307	1011
233	308	1009
234	309	1006
235	310	1004
236	310	1001
237	311	998
238	312	996
239	314	994
240	315	992
241	316	990
242	317	988
243	318	986
244	319	984
245	320	982
246	321	980
247	322	978
248	323	976
249	324	974
250	325	972
251	326	968
252	327	966
253	328	965
254	329	963
255	330	961
256	331	959
257	332	957
258	333	955
259	335	953
260	336	951
261	337	949
262	338	947
263	339	945
264	340	944
265	341	941
266	342	939
267	343	937
268	344	936
269	345	933
270	346	932
271	347	930
272	348	928
273	349	926
274	350	924
275	351	922
276	352	921
277	353	919
278	354	917
279	356	915
280	357	913
281	358	911
282	359	910
283	360	908
284	360	905
285	361	903
286	362	901
287	363	899
288	365	898
289	366	896
290	367	894
291	368	892
292	369	891
293	370	889
294	371	887
295	372	885
296	373	883
297	374	882
298	375	880
299	376	878
300	377	877
301	378	875
302	379	873
303	380	871
304	381	870
305	382	868
306	383	866
307	385	865
308	385	863
309	387	861
310	388	859
311	389	858
312	390	856
313	391	854
314	392	853
315	393	851
316	395	852
317	396	851
318	397	849
319	398	846
320	399	844
321	400	843
322	401	841
323	402	839
324	403	837
325	404	835
326	404	833
327	405	831
328	406	830
329	408	828
330	409	826
331	410	825
332	411	823
333	412	821
334	413	820
335	414	818
336	415	816
337	416	815
338	417	813
339	418	812
340	419	810
341	420	808
342	421	807
343	422	805
344	423	804
345	424	802
346	425	801
347	426	799
348	427	797
349	428	796
350	429	794
351	433	798
352	434	796
353	435	795
354	436	793
355	437	791
356	438	790
357	439	788
358	440	786
359	441	784
360	442	783
361	443	781
362	444	780
363	445	778
364	446	777
365	447	775
366	448	773
367	449	772
368	450	770
369	451	769
370	452	767
371	453	765
372	454	764
373	455	762
374	456	761
375	457	759
376	458	758
377	459	756
378	460	755
379	461	753
380	463	752
381	464	750
382	465	749
383	466	747
384	467	746
385	468	744
386	469	743
387	470	741
388	471	740
389	472	738
390	473	737
391	474	735
392	474	733
393	475	732
394	477	730
395	478	729
396	479	727
397	479	725
398	481	724
399	482	723
400	483	721
401	484	720
402	485	718
403	486	717
404	487	715
405	488	714
406	489	712
407	490	711
408	490	709
409	491	707
410	493	706
411	494	705
412	495	703
413	495	702
414	496	700
415	497	698
416	498	697
417	499	695
418	500	693
419	501	692
420	502	691
421	503	689
422	504	688
423	505	686
424	506	685
425	507	683
426	507	681
427	508	680
428	509	678
429	510	676
430	511	675
431	512	673
432	513	672
433	514	671
434	515	669
435	516	668
436	517	667
437	518	665
438	519	664
439	520	663
440	521	661
441	523	660
442	524	658
443	525	657
444	526	656
445	527	654
446	528	653
447	529	652
448	530	650
449	531	649
450	532	648
451	533	646
452	534	645
453	535	644
454	536	642
455	537	641
456	538	640
457	539	638
458	540	637
459	541	636
460	542	634
461	543	633
462	544	631
463	545	630
464	546	629
465	548	627
466	549	626
467	550	625
468	551	624
469	552	622
470	553	621
471	554	620
472	555	618
473	556	617
474	557	616
475	558	614
476	559	613
477	560	612
478	561	610
479	562	609
480	563	608
481	564	607
482	565	605
483	566	604
484	567	603
485	569	601
486	570	600
487	571	599
488	572	597
489	573	596
490	574	595
491	575	594
492	576	592
493	577	591
494	578	590
495	579	588
496	580	587
497	581	586
498	582	584
499	583	583
500	584	582
501	585	581
502	586	579
503	587	578
504	588	577
505	589	575
506	590	574
507	591	573
508	592	571
509	593	570
510	594	569
511	595	567
512	596	566
513	597	565
514	599	564
515	600	562
516	601	561
517	602	560
518	603	559
519	604	557
520	605	556
521	606	555
522	607	554
523	608	552
524	609	551
525	610	550
526	611	549
527	612	547
528	613	546
529	614	545
530	615	543
531	616	542
532	617	541
533	619	540
534	620	538
535	621	537
536	622	536
537	623	535
538	624	533
539	625	532
540	626	531
541	627	530
542	628	528
543	629	527
544	630	526
545	631	525
546	632	523
547	633	522
548	634	521
549	635	520
550	636	518
551	637	517
552	638	516
553	639	515
554	640	513
555	641	512
556	642	511
557	643	510
558	644	508
559	645	507
560	646	506
561	647	505
562	649	503
563	650	502
564	651	501
565	652	500
566	653	498
567	654	497
568	655	496
569	656	495
570	657	493
571	658	492
572	659	491
573	660	490
574	661	488
575	662	487
576	663	486
577	664	484
578	665	483
579	666	482
580	667	481
581	668	479
582	669	478
583	670	477
584	671	476
585	672	475
586	673	473
587	674	472
588	675	471
589	676	470
590	677	468
591	678	467
592	679	466
593	680	465
594	681	463
595	682	462
596	683	461
597	684	460
598	685	459
599	686	457
600	688	456
601	689	455
602	690	454
603	691	453
604	692	451
605	693	450
606	694	449
607	695	448
608	696	447
609	697	445
610	698	444
611	699	443
612	700	442
613	701	440
614	702	439
615	703	438
616	704	437
617	705	436
618	706	434
619	707	433
620	708	432
621	709	431
622	710	430
623	711	428
624	712	427
625	713	426
626	714	425
627	715	424
628	716	422
629	717	421
630	718	420
631	719	419
632	720	417
633	721	416
634	723	415
635	724	414
636	725	413
637	726	412
638	727	410
639	728	409
640	729	408
641	730	407
642	731	406
643	732	404
644	733	403
645	734	402
646	735	401
647	736	400
648	737	398
649	738	397
650	739	396
651	740	395
652	741	394
653	742	392
654	743	391
655	744	390
656	745	389
657	746	388
658	747	387
659	748	385
660	750	384
661	751	383
662	752	382
663	753	381
664	754	379
665	755	378
666	756	377
667	757	376
668	758	375
669	759	373
670	760	372
671	761	371
672	762	370
673	763	369
674	764	368
675	765	366
676	766	365
677	767	364
678	768	363
679	769	362
680	770	360
681	771	359
682	772	358
683	773	357
684	774	356
685	775	355
686	776	353
687	777	352
688	778	351
689	779	350
690	780	349
691	781	347
692	782	346
693	783	345
694	785	344
695	785	343
696	787	342
697	788	340
698	789	339
699	790	338
700	791	337
701	792	336
702	793	335
703	794	334
704	795	332
705	796	331
706	797	330
707	798	329
708	799	328
709	800	327
710	801	325
711	802	324
712	803	323
713	804	322
714	805	321
715	806	320
716	807	318
717	809	318
718	810	316
719	811	315
720	813	314
721	814	313
722	815	312
723	816	311
724	817	310
725	818	308
726	819	307
727	820	306
728	821	305
729	822	304
730	823	303
731	824	301
732	825	300
733	826	299
734	827	298
735	828	297
736	829	296
737	830	294
738	831	293
739	832	292
740	833	291
741	834	290
742	835	289
743	836	287
744	838	286
745	839	285
746	840	284
747	841	283
748	842	282
749	843	281
750	844	279
751	845	278
752	846	277
753	847	276
754	848	275
755	849	274
756	850	273
757	851	271
758	852	270
759	853	269
760	854	268
761	855	267
762	856	266
763	857	265
764	859	263
765	860	262
766	861	261
767	862	260
768	863	259
769	864	258
770	865	256
771	866	255
772	867	254
773	868	253
774	869	252
775	870	251
776	871	250
777	872	248
778	873	247
779	874	246
780	875	245
781	877	244
782	878	243
783	879	242
784	880	241
785	881	240
786	882	238
787	883	237
788	884	236
789	886	235
790	887	234
791	888	233
792	889	232
793	890	230
794	891	229
795	892	228
796	893	227
797	894	226
798	895	225
799	896	224
800	897	222
801	898	221
802	899	220
803	900	219
804	901	218
805	902	217
806	903	216
807	904	215
808	905	213
809	907	212
810	908	211
811	909	210
812	910	209
813	911	208
814	912	207
815	913	205
816	914	204
817	915	203
818	916	202
819	917	201
820	918	200
821	919	199
822	920	198
823	921	196
824	923	195
825	924	194
826	925	193
827	926	192
828	927	191
829	928	190
830	929	188
831	930	187
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	936	181
838	937	179
839	938	178
840	939	177
841	940	176
842	941	175
843	942	174
844	943	173
845	944	172
846	946	170
847	947	169
848	948	168
849	949	167
850	950	166
851	951	165
852	952	164
853	953	162
854	954	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	960	155
861	961	153
862	962	152
863	963	151
864	964	150
865	965	149
866	966	148
867	967	147
868	968	146
869	969	144
870	970	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	137
877	978	135
878	979	134
879	980	133
880	981	132
881	984	131
882	985	130
883	986	129
884	987	128
885	988	127
886	989	126
887	990	124
888	991	123
889	992	122
890	993	121
891	994	120
892	995	119
893	996	118
894	997	117
895	998	115
896	999	114
897	1000	113
898	1002	112
899	1003	111
900	1004	110
901	1005	109
902	1006	108
903	1007	106
904	1008	105
905	1009	104
906	1010	103
907	1011	102
908	1012	101
909	1013	100
910	1014	99
911	1015	98
912	1016	96
913	1017	95
914	1018	94
915	1019	93
916	1020	92
917	1022	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	78
929	1034	77
930	1035	76
931	1036	75
932	1038	74
933	1039	73
934	1040	72
935	1041	71
936	1043	70
937	1044	69
938	1045	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
950	1057	54
951	1058	53
952	1059	52
953	1060	51
954	1061	50
955	1063	48
956	1064	47
957	1065	46
958	1066	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1071	40
964	1072	38
965	1073	37
966	1074	36
967	1075	35
968	1076	34
969	1077	33
970	1078	32
971	1079	31
972	1080	29
973	1081	28
974	1082	27
975	1083	26
976	1084	25
977	1085	24
978	1086	23
979	1087	22
980	1088	21
981	1089	19
982	1091	18
983	1092	17
984	1093	16
985	1094	15
986	1095	14
987	1096	13
988	1097	12
989	1098	11
990	1099	9
991	1100	8
992	1101	7
993	1102	6
994	1103	5
995	1104	4
996	1105	3
997	1106	2
998	1107	1
999	1108	0
